Date,Adj Close,Close,High,Low,Open,Volume
2021-08-02,206.2804718017578,218.07000732421875,222.5399932861328,218.02999877929688,222.3800048828125,1018700
2021-08-03,207.50071716308594,219.36000061035156,219.5500030517578,217.50999450683594,218.0,593800
2021-08-04,206.0250701904297,217.8000030517578,218.7100067138672,217.0500030517578,217.4499969482422,721900
2021-08-05,206.38449096679688,218.17999267578125,219.3300018310547,217.05999755859375,219.11000061035156,646900
2021-08-06,207.77503967285156,219.64999389648438,219.8800048828125,217.3300018310547,218.75999450683594,635400
2021-08-09,206.73451232910156,218.5500030517578,221.0,217.8699951171875,220.42999267578125,755800
2021-08-10,207.21693420410156,219.05999755859375,219.83999633789062,218.2899932861328,218.2899932861328,591500
2021-08-11,208.7020721435547,220.6300048828125,220.91000366210938,218.63999938964844,219.99000549316406,798900
2021-08-12,207.69935607910156,219.57000732421875,221.0,218.8000030517578,220.6699981689453,570200
2021-08-13,209.6007080078125,221.5800018310547,221.6199951171875,218.89999389648438,219.77000427246094,577800
2021-08-16,209.31692504882812,221.27999877929688,221.36000061035156,218.4199981689453,219.6699981689453,744900
2021-08-17,209.3263702392578,221.2899932861328,221.50999450683594,219.16000366210938,221.16000366210938,717800
2021-08-18,207.47235107421875,219.3300018310547,221.08999633789062,219.07000732421875,220.5500030517578,838600
2021-08-19,208.5790557861328,220.5,221.02999877929688,217.49000549316406,218.0,725800
2021-08-20,210.0547332763672,222.05999755859375,222.41000366210938,220.1699981689453,220.30999755859375,560400
2021-08-23,210.48989868164062,222.52000427246094,223.50999450683594,221.75999450683594,223.0399932861328,645600
2021-08-24,210.31016540527344,222.3300018310547,223.55999755859375,221.6699981689453,223.35000610351562,411200
2021-08-25,211.96548461914062,224.0800018310547,224.38999938964844,221.4600067138672,222.0,486200
2021-08-26,210.96282958984375,223.02000427246094,224.0,222.50999450683594,223.6199951171875,560500
2021-08-27,212.8263702392578,224.99000549316406,225.8699951171875,223.33999633789062,224.10000610351562,585600
2021-08-30,213.2898712158203,225.47999572753906,226.55999755859375,224.85000610351562,225.0,618400
2021-08-31,213.1763458251953,225.36000061035156,225.99000549316406,224.19000244140625,225.2899932861328,1175100
2021-09-01,212.8074493408203,224.97000122070312,225.75,223.0399932861328,225.02000427246094,620200
2021-09-02,214.65199279785156,226.9199981689453,227.47000122070312,224.77000427246094,225.55999755859375,723600
2021-09-03,212.9682159423828,225.13999938964844,227.97000122070312,225.07000732421875,227.50999450683594,980200
2021-09-07,214.8600616455078,227.13999938964844,228.1699981689453,224.77000427246094,225.00999450683594,1032800
2021-09-08,217.1871337890625,229.60000610351562,229.99000549316406,226.61000061035156,227.0,1159200
2021-09-09,215.2100830078125,227.50999450683594,231.25,227.35000610351562,229.5,928600
2021-09-10,213.63038635253906,225.83999633789062,228.89999389648438,224.99000549316406,226.9499969482422,847100
2021-09-13,212.77719116210938,224.4600067138672,228.39999389648438,222.9600067138672,228.39999389648438,1015900
2021-09-14,211.924072265625,223.55999755859375,226.0,223.1199951171875,225.8300018310547,910400
2021-09-15,212.18006896972656,223.8300018310547,224.49000549316406,222.33999633789062,222.99000549316406,1068300
2021-09-16,211.93357849121094,223.57000732421875,223.99000549316406,220.97000122070312,223.3000030517578,908700
2021-09-17,206.97576904296875,218.33999633789062,222.88999938964844,218.00999450683594,221.82000732421875,2256900
2021-09-20,205.7908477783203,217.08999633789062,219.2100067138672,214.72000122070312,215.57000732421875,1242800
2021-09-21,206.56814575195312,217.91000366210938,219.67999267578125,216.72000122070312,217.9199981689453,760700
2021-09-22,209.3645782470703,220.86000061035156,222.66000366210938,218.1999969482422,219.52000427246094,833200
2021-09-23,212.2463836669922,223.89999389648438,224.47000122070312,222.05999755859375,222.05999755859375,637800
2021-09-24,212.12313842773438,223.77000427246094,225.66000366210938,223.0399932861328,223.75999450683594,691200
2021-09-27,206.9188995361328,218.27999877929688,223.8699951171875,217.88999938964844,222.52000427246094,1025500
2021-09-28,201.74307250976562,212.82000732421875,217.99000549316406,211.5399932861328,217.47999572753906,1136400
2021-09-29,201.6293182373047,212.6999969482422,215.08999633789062,212.17999267578125,213.16000366210938,1006000
2021-09-30,197.76165771484375,208.6199951171875,214.74000549316406,208.57000732421875,213.8699951171875,1035100
2021-10-01,202.52987670898438,213.64999389648438,214.64999389648438,209.13999938964844,210.2899932861328,1439800
2021-10-04,201.31646728515625,212.3699951171875,214.91000366210938,211.22000122070312,213.22000122070312,1265900
2021-10-05,203.22189331054688,214.3800048828125,215.86000061035156,211.39999389648438,212.19000244140625,926100
2021-10-06,205.34530639648438,216.6199951171875,216.74000549316406,212.0399932861328,212.1699981689453,966600
2021-10-07,205.20310974121094,216.47000122070312,220.1199951171875,216.0,218.69000244140625,700600
2021-10-08,203.86643981933594,215.05999755859375,217.02000427246094,214.88999938964844,215.97999572753906,619000
2021-10-11,201.12692260742188,212.1699981689453,215.74000549316406,212.1199951171875,215.4499969482422,846300
2021-10-12,201.08897399902344,212.1300048828125,213.0399932861328,211.2899932861328,212.4600067138672,1129200
2021-10-13,202.1696319580078,213.27000427246094,214.02999877929688,211.42999267578125,212.74000549316406,1180300
2021-10-14,207.93319702148438,219.35000610351562,219.55999755859375,214.00999450683594,215.05999755859375,1027000
2021-10-15,208.7484893798828,220.2100067138672,222.22000122070312,219.3699951171875,220.91000366210938,2269200
2021-10-18,207.30755615234375,218.69000244140625,219.5399932861328,217.27999877929688,218.10000610351562,885000
2021-10-19,208.1038360595703,219.52999877929688,220.11000061035156,217.72999572753906,219.82000732421875,686800
2021-10-20,209.1560516357422,220.63999938964844,221.11000061035156,218.64999389648438,220.07000732421875,517200
2021-10-21,210.72964477539062,222.3000030517578,222.36000061035156,219.97000122070312,221.1199951171875,576800
2021-10-22,209.9238739013672,221.4499969482422,223.1699981689453,221.1300048828125,222.35000610351562,699100
2021-10-25,210.0281524658203,221.55999755859375,224.25,220.66000366210938,221.97000122070312,1137000
2021-10-26,218.29428100585938,230.27999877929688,230.88999938964844,220.57000732421875,224.10000610351562,1367000
2021-10-27,209.59210205078125,221.10000610351562,226.55999755859375,220.94000244140625,225.80999755859375,1279800
2021-10-28,209.497314453125,221.0,223.66000366210938,220.64999389648438,221.80999755859375,780700
2021-10-29,210.65383911132812,222.22000122070312,223.1999969482422,219.1199951171875,219.82000732421875,920400
2021-11-01,210.9381866455078,222.52000427246094,226.27000427246094,221.67999267578125,223.36000061035156,957800
2021-11-02,215.0997314453125,226.91000366210938,227.66000366210938,222.36000061035156,223.39999389648438,1074200
2021-11-03,216.26568603515625,228.13999938964844,229.07000732421875,223.3699951171875,226.99000549316406,1385300
2021-11-04,216.22775268554688,228.10000610351562,229.99000549316406,227.16000366210938,228.0,945100
2021-11-05,218.67347717285156,230.67999267578125,230.75,228.49000549316406,228.75,902500
2021-11-08,218.84414672851562,230.86000061035156,231.5500030517578,229.52000427246094,231.0,737000
2021-11-09,218.92942810058594,230.9499969482422,231.6699981689453,228.60000610351562,230.6999969482422,691300
2021-11-10,221.23292541503906,233.3800048828125,234.24000549316406,228.69000244140625,231.5,1057400
2021-11-11,220.37030029296875,232.47000122070312,234.08999633789062,231.52000427246094,233.75,727400
2021-11-12,223.4037628173828,235.6699981689453,235.89999389648438,233.1199951171875,233.47000122070312,839300
2021-11-15,223.20468139648438,235.4600067138672,236.77000427246094,234.80999755859375,236.0,743900
2021-11-16,221.2803497314453,233.42999267578125,236.75,233.25999450683594,236.0,663700
2021-11-17,220.2944793701172,232.38999938964844,234.1699981689453,231.6300048828125,233.57000732421875,608700
2021-11-18,218.86309814453125,230.8800048828125,232.64999389648438,230.0,232.1199951171875,638300
2021-11-19,222.63592529296875,234.86000061035156,236.55999755859375,230.1999969482422,230.89999389648438,709600
2021-11-22,222.33255004882812,234.5399932861328,238.92999267578125,234.4499969482422,235.3699951171875,769700
2021-11-23,221.2803497314453,233.42999267578125,235.0,231.6699981689453,234.36000061035156,585800
2021-11-24,219.30865478515625,231.35000610351562,233.27000427246094,230.1300048828125,232.5500030517578,616900
2021-11-26,214.4551239013672,226.22999572753906,230.89999389648438,226.0,228.0,730600
2021-11-29,215.32720947265625,227.14999389648438,228.66000366210938,224.64999389648438,228.0,1134800
2021-11-30,209.94285583496094,221.47000122070312,227.94000244140625,220.69000244140625,226.22000122070312,2057400
2021-12-01,208.83375549316406,220.3000030517578,227.38999938964844,220.1699981689453,224.17999267578125,1049900
2021-12-02,212.95729064941406,224.64999389648438,226.17999267578125,220.69000244140625,221.25999450683594,931200
2021-12-03,209.33616638183594,220.8300018310547,225.9499969482422,217.94000244140625,225.25,1784400
2021-12-06,217.64024353027344,229.58999633789062,231.58999633789062,223.3699951171875,223.3699951171875,1324100
2021-12-07,218.7493438720703,230.75999450683594,233.91000366210938,229.50999450683594,232.86000061035156,1158800
2021-12-08,220.2091827392578,232.3000030517578,232.9499969482422,229.92999267578125,231.0,849000
2021-12-09,218.3606719970703,230.35000610351562,231.52999877929688,228.55999755859375,230.9499969482422,747700
2021-12-10,219.93429565429688,232.00999450683594,232.69000244140625,230.75999450683594,232.3699951171875,764100
2021-12-13,219.87725830078125,231.44000244140625,232.89999389648438,228.57000732421875,231.1699981689453,923100
2021-12-14,217.44512939453125,228.8800048828125,231.6699981689453,228.0,231.4199981689453,1023600
2021-12-15,217.7301788330078,229.17999267578125,229.6199951171875,226.30999755859375,228.8000030517578,959200
2021-12-16,218.36669921875,229.85000610351562,231.61000061035156,227.32000732421875,228.89999389648438,1394600
2021-12-17,214.1865234375,225.4499969482422,230.30999755859375,225.22000122070312,230.30999755859375,2552500
2021-12-20,212.8280029296875,224.02000427246094,224.25,220.22999572753906,222.99000549316406,703700
2021-12-21,214.2245330810547,225.49000549316406,226.49000549316406,224.25999450683594,225.33999633789062,695000
2021-12-22,215.4976043701172,226.8300018310547,227.39999389648438,225.05999755859375,225.05999755859375,620100
