Date,Adj Close,Close,High,Low,Open,Volume
2021-08-02,288.9287109375,327.2200012207031,330.0,326.4200134277344,330.0,2016400
2021-08-03,293.09637451171875,331.94000244140625,333.010009765625,328.0299987792969,328.3500061035156,2405900
2021-08-04,291.65704345703125,330.30999755859375,331.9200134277344,329.3900146484375,330.69000244140625,1783700
2021-08-05,294.1294860839844,333.1099853515625,336.0,331.0899963378906,331.9599914550781,2284000
2021-08-06,291.24212646484375,329.8399963378906,335.7099914550781,329.1199951171875,334.69000244140625,2656600
2021-08-09,290.2884826660156,328.760009765625,331.07000732421875,327.32000732421875,329.2300109863281,1995300
2021-08-10,292.6901550292969,331.4800109863281,333.239990234375,327.1499938964844,328.6700134277344,1868100
2021-08-11,297.5642395019531,337.0,338.54998779296875,333.3999938964844,333.79998779296875,3258600
2021-08-12,294.9329833984375,334.0199890136719,338.1700134277344,332.2799987792969,337.3500061035156,2554200
2021-08-13,292.5489196777344,331.32000732421875,335.79998779296875,330.9800109863281,333.8599853515625,2217000
2021-08-16,295.84246826171875,335.04998779296875,335.6300048828125,327.9700012207031,330.7099914550781,3496300
2021-08-17,283.21588134765625,320.75,323.5899963378906,316.6099853515625,321.0,9322800
2021-08-18,283.92230224609375,321.54998779296875,327.8599853515625,319.0,319.3399963378906,4880600
2021-08-19,285.11419677734375,322.8999938964844,325.19000244140625,317.79998779296875,318.7900085449219,2974700
2021-08-20,290.7123718261719,329.239990234375,329.67999267578125,322.4700012207031,322.6400146484375,2929900
2021-08-23,289.3878173828125,327.739990234375,330.5299987792969,327.3800048828125,330.0,2792700
2021-08-24,286.8802185058594,324.8999938964844,328.8399963378906,324.510009765625,328.760009765625,2359500
2021-08-25,285.97955322265625,323.8800048828125,326.55999755859375,323.1099853515625,324.1499938964844,2586900
2021-08-26,283.8603820800781,321.4800109863281,324.989990234375,321.0,323.2099914550781,2952300
2021-08-27,285.5380859375,323.3800048828125,324.04998779296875,319.6499938964844,320.8800048828125,2985400
2021-08-30,288.8228454589844,327.1000061035156,329.5,325.2099914550781,325.9100036621094,2926900
2021-08-31,288.0104675292969,326.17999267578125,328.2699890136719,323.6199951171875,327.0,4183100
2021-09-01,287.2206115722656,323.6400146484375,325.7799987792969,320.2799987792969,325.55999755859375,3339100
2021-09-02,290.85919189453125,327.739990234375,328.17999267578125,323.70001220703125,325.0299987792969,3109000
2021-09-03,293.1665344238281,330.3399963378906,330.8999938964844,325.1600036621094,325.3299865722656,2774800
2021-09-07,291.93310546875,328.95001220703125,332.55999755859375,326.8999938964844,331.0299987792969,2555200
2021-09-08,294.2669982910156,331.5799865722656,331.92999267578125,327.6300048828125,328.95001220703125,2219500
2021-09-09,294.43560791015625,331.7699890136719,333.7300109863281,330.8699951171875,332.45001220703125,3011900
2021-09-10,294.59539794921875,331.95001220703125,335.2300109863281,331.45001220703125,334.0,3178600
2021-09-13,297.70159912109375,335.45001220703125,337.1499938964844,332.75,334.95001220703125,3908700
2021-09-14,295.6337890625,333.1199951171875,337.489990234375,332.4200134277344,336.0299987792969,2857200
