Date,Adj Close,Close,High,Low,Open,Volume
2021-08-02,124.7770004272461,141.8800048828125,142.42999267578125,140.8000030517578,141.77000427246094,7009500
2021-08-03,126.59745788574219,143.9499969482422,144.2100067138672,141.52000427246094,141.86000061035156,8455700
2021-08-04,125.26071166992188,142.42999267578125,144.08999633789062,142.35000610351562,143.0399932861328,6628000
2021-08-05,125.32225799560547,142.5,143.5500030517578,141.47000122070312,143.35000610351562,5363300
2021-08-06,124.3636474609375,141.41000366210938,143.1199951171875,141.22000122070312,143.02999877929688,6030100
2021-08-09,125.04082489013672,142.17999267578125,142.58999633789062,141.6999969482422,141.9499969482422,4743800
2021-08-10,125.1199722290039,142.27000427246094,142.50999450683594,141.66000366210938,141.91000366210938,5253500
2021-08-11,125.42774963378906,142.6199951171875,143.24000549316406,142.47000122070312,142.74000549316406,4205000
2021-08-12,125.7179946899414,142.9499969482422,143.14999389648438,142.35000610351562,143.14999389648438,4956100
2021-08-13,126.32483673095703,143.63999938964844,143.99000549316406,142.69000244140625,142.9499969482422,4888800
2021-08-16,127.20426940917969,144.63999938964844,144.69000244140625,143.3800048828125,143.6699981689453,6040800
2021-08-17,127.41536712646484,144.8800048828125,145.60000610351562,143.88999938964844,144.39999389648438,7577000
2021-08-18,126.02581024169922,143.3000030517578,144.8800048828125,143.17999267578125,144.6999969482422,7162000
2021-08-19,127.51210021972656,144.99000549316406,145.27999877929688,143.16000366210938,143.16000366210938,5787200
2021-08-20,127.5999984741211,145.08999633789062,145.97999572753906,144.77999877929688,145.25,5273800
2021-08-23,126.94925689697266,144.35000610351562,145.33999633789062,144.22999572753906,144.2899932861328,4522200
2021-08-24,125.92027282714844,143.17999267578125,144.14999389648438,142.97999572753906,144.00999450683594,4560400
2021-08-25,125.47176361083984,142.6699981689453,143.1300048828125,142.25,143.07000732421875,3861500
2021-08-26,125.25190734863281,142.4199981689453,142.7100067138672,141.47000122070312,142.55999755859375,4749400
2021-08-27,125.15516662597656,142.30999755859375,142.77000427246094,141.63999938964844,142.47999572753906,4741200
2021-08-30,125.7004165649414,142.92999267578125,142.99000549316406,142.0500030517578,142.60000610351562,3845800
2021-08-31,125.22550201416016,142.38999938964844,143.52999877929688,142.0500030517578,143.0399932861328,9642400
2021-09-01,126.50069427490234,143.83999633789062,144.19000244140625,142.22999572753906,142.3300018310547,6214200
2021-09-02,126.59745788574219,143.9499969482422,144.72999572753906,143.5800018310547,143.97000122070312,5392500
2021-09-03,126.68540954589844,144.0500030517578,144.3699951171875,143.52000427246094,143.75999450683594,5466400
2021-09-07,126.21048736572266,143.50999450683594,144.5,143.2899932861328,144.32000732421875,6520600
2021-09-08,127.16912078857422,144.60000610351562,144.94000244140625,143.00999450683594,143.0800018310547,6897800
2021-09-09,126.63263702392578,143.99000549316406,144.8800048828125,143.64999389648438,144.57000732421875,6354700
2021-09-10,126.7557601928711,144.1300048828125,144.4600067138672,143.32000732421875,144.05999755859375,5750000
2021-09-13,128.11891174316406,145.67999267578125,147.22999572753906,144.85000610351562,144.85000610351562,9952500
2021-09-14,127.89904022216797,145.42999267578125,146.36000061035156,144.9499969482422,146.1300048828125,5831800
2021-09-15,127.62641906738281,145.1199951171875,145.77000427246094,144.74000549316406,145.35000610351562,6237100
2021-09-16,126.73818969726562,144.11000061035156,145.19000244140625,142.82000732421875,144.83999633789062,6142100
2021-09-17,126.94047546386719,144.33999633789062,146.27999877929688,144.22999572753906,144.3699951171875,18737400
2021-09-20,125.66522216796875,142.88999938964844,144.85000610351562,141.97000122070312,144.22000122070312,10238700
2021-09-21,125.85870361328125,143.11000061035156,144.52999877929688,142.8800048828125,142.97999572753906,6651300
2021-09-22,126.28962707519531,143.60000610351562,144.35000610351562,142.86000061035156,143.82000732421875,6332500
2021-09-23,126.80852508544922,144.19000244140625,144.69000244140625,143.49000549316406,144.05999755859375,5171200
2021-09-24,126.24569702148438,143.5500030517578,144.4499969482422,143.08999633789062,143.8000030517578,5009400
2021-09-27,124.58348846435547,141.66000366210938,143.1699981689453,141.52000427246094,143.14999389648438,5749700
2021-09-28,123.64250183105469,140.58999633789062,141.3699951171875,139.55999755859375,141.0500030517578,7015300
2021-09-29,124.90007781982422,142.02000427246094,142.67999267578125,140.17999267578125,140.27000427246094,5460000
2021-09-30,122.94771575927734,139.8000030517578,142.74000549316406,139.52999877929688,142.63999938964844,6934900
2021-10-01,122.75424194335938,139.5800018310547,140.22999572753906,138.32000732421875,139.92999267578125,5587200
2021-10-04,122.05945587158203,138.7899932861328,140.39999389648438,137.60000610351562,139.38999938964844,5816000
2021-10-05,122.53434753417969,139.3300018310547,140.52000427246094,138.72000122070312,138.8000030517578,6902700
